
> claw3d@0.1.5 dev
> node server/index.js --dev

◇ injected env (12) from .env // tip: ⌘ enable debugging { debug: true }
Open in browser: http://localhost:3000
 GET / 307 in 2.4s (compile: 1967ms, render: 402ms)
○ Compiling /office ...
 GET /office 200 in 7.5s (compile: 6.6s, render: 835ms)
⚠ Cross origin request detected from 54.208.117.247 to /_next/* resource. In a future major version of Next.js, you will need to explicitly configure "allowedDevOrigins" in next.config to allow this.
Read more: https://nextjs.org/docs/app/api-reference/config/next-config-js/allowedDevOrigins
○ Compiling /api/office/layout ...
 GET /api/office/standup/config?gatewayUrl=ws%3A%2F%2Flocalhost%3A18789 200 in 3.5s (compile: 3.5s, render: 60ms)
 GET /api/office/standup/meeting 200 in 3.5s (compile: 3.5s, render: 59ms)
 GET /api/task-store 200 in 3.4s (compile: 3.4s, render: 59ms)
 GET /api/studio 200 in 3.6s (compile: 3.5s, render: 58ms)
 PUT /api/office/layout 200 in 2.1s (compile: 2.1s, render: 66ms)
 GET /api/office/standup/config?gatewayUrl=wss%3A%2F%2F54.208.117.247%3A443 200 in 14ms (compile: 8ms, render: 6ms)
 GET /api/office/standup/meeting 200 in 20ms (compile: 15ms, render: 5ms)
 GET /api/studio 200 in 26ms (compile: 21ms, render: 5ms)
 GET /api/task-store 200 in 29ms (compile: 18ms, render: 11ms)
 PUT /api/office/layout 200 in 33ms (compile: 23ms, render: 10ms)
 PUT /api/studio 200 in 16ms (compile: 4ms, render: 11ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 14ms (compile: 5ms, render: 9ms)
 GET /api/task-store 200 in 10ms (compile: 4ms, render: 6ms)
 GET /api/task-store 200 in 9ms (compile: 4ms, render: 6ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/task-store 200 in 9ms (compile: 5ms, render: 4ms)
 GET /api/task-store 200 in 9ms (compile: 5ms, render: 4ms)
 GET /api/task-store 200 in 9ms (compile: 4ms, render: 5ms)
 GET /api/task-store 200 in 9ms (compile: 4ms, render: 4ms)
 GET /api/task-store 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/task-store 200 in 9ms (compile: 3ms, render: 6ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 54ms (compile: 29ms, render: 25ms)
 GET /api/task-store 200 in 6ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/task-store 200 in 8ms (compile: 3ms, render: 5ms)
